	tweet-id	user-id	time	text	is-nips2020	is-quote	quote-id	retweet-cnt	favorite-cnt	reply-cnt	quote-cnt	emotion	user-name	user-screen-name
0	1222778834300362753	844953243931291648	Thu Jan 30 07:09:26 +0000 2020	We are planning to hold <a href='#'>#WiML</a> events, big and small, for <a href='#'>#ICLR2020</a> in Ethiopia, <a href='#'>#ICML2020</a> in Austria, <a href='#'>#CoRL2020</a> in Boston, <a href='#'>#NeurIPS2020</a> in Vancouver, and more! Apply to be an organizer if you'd like to be more involved.	True	True	1.222691891692626e+18	51	150	1	1	0.9801139999999999	raia hadsell	RaiaHadsell
1	1230240681974693896	41860681	Wed Feb 19 21:20:10 +0000 2020	<a href='#'>#NeurIPS2020</a> submission dates announced! Note the earlier submission deadlines of May 5 / May 12 for abstract / paper submission.	True	True	1.2302379225169715e+18	9	13	0	0	0.9468160000000001	Diana Cai	dianarycai
2	1230242249742508032	97707247	Wed Feb 19 21:26:23 +0000 2020	"Important changes to <a href='#'>#NeurIPS2020</a> review process:
1. Early reject process
2. All authors must be prepared to review
3. Resubmissions must be disclosed
4. Broader impact statements required for all submissions
5. Mandatory spotlight videos for accessibility
<a href='#'>https://t.co/Zg8UivwqnW</a>"	True	False		60	178	7	12	0.9804299999999999	Gautam Kamath	thegautamkamath
3	1230243762288414720	1012368265753055234	Wed Feb 19 21:32:24 +0000 2020	"There have been some positive  changes wrt <a href='#'>#NeurIPS2020</a> review process
There's more to come; ""the stars, our destination""!
Kudos to <a href='#'>@hugo_larochelle</a> for all his (consistent and tireless) work for <a href='#'>@NeurIPSConf</a> !"	True	True	1.230242249742508e+18	0	18	1	0	0.9935020000000001	Maria Skoularidou	skoularidou
4	1230244450804346882	185379141	Wed Feb 19 21:35:08 +0000 2020	Changes to the NeurIPS 2020 Review Process <a href='#'>https://t.co/ISzaKP2Lfa</a> via <a href='#'>@YouTube</a> <a href='#'>#NeurIPS2020</a>	True	False		1	4	0	0	0.970542	Steven Wu	zstevenwu
5	1230250641265700864	504239269	Wed Feb 19 21:59:44 +0000 2020	"This year’s abstract submission deadline is moved up to May 5th, 2020, while the paper submission deadline is on May 12th, 2020. This shift allows us to accommodate the early rejection phase of the review process… 
<a href='#'>https://t.co/Y6DIFp9ldH</a>
<a href='#'>#NeurIPS2020</a>"	True	False		0	1	0	0	0.9843280000000001	Vu Nguyen	nguyentienvu
6	1230251902799155202	286426225	Wed Feb 19 22:04:45 +0000 2020	Huge news on changes to review process for <a href='#'>#NeurIPS2020</a> — much needed changes including desk rejects, mandatory author reviews, broader impacts, and more	True	True	1.2302379225169715e+18	0	2	0	0	0.968672	Bryon Aragam #blacklivesmatter	itsrainingdata
7	1230274848909398017	1225667056785227776	Wed Feb 19 23:35:56 +0000 2020	"Now who do I ask to help me make a spotlight video like this <a href='#'>https://t.co/kCG4wLl5G9</a>
<a href='#'>#NeurIPS2020</a> <a href='#'>#machinelearning</a>"	True	False		2	0	0	0	0.9831840000000001	Isomorphic ML Student	Isomorphic_ML
8	1230275699849801728	4484386293	Wed Feb 19 23:39:18 +0000 2020	"A great push to simplify the enormous task to evaluate the 10k plus submission this year and shift work to the authors: 
- abstract deadline, 
- authors as reviewers, 
- video supplementary 
- plus simplifying early rejections!

Scaling <a href='#'>#NeurIPS2020</a>

<a href='#'>https://t.co/LBDLzDV3wD</a>"	True	True	1.2302379225169715e+18	1	6	0	0	0.9768939999999999	Markus Wulfmeier	markus_with_k
9	1230283188347363328	3119778197	Thu Feb 20 00:09:04 +0000 2020	Exciting changes to <a href='#'>#NeurIPS2020</a> review process!	True	True	1.230242249742508e+18	1	15	1	0	0.997446	Hanie Sedghi	HanieSedghi
10	1230283256567824384	894164731795197957	Thu Feb 20 00:09:20 +0000 2020	Bravo, thrilled to see <a href='#'>#NeurIPS2020</a> will have a *required* broader impacts section discussing possible positive and negative societal consequences of their work! And COI disclosures are now required...The new “desk reject” option also seems smart. Hope these policies have teeth!!	True	True	1.2302379225169715e+18	2	8	0	0	0.9831000000000001	Joe Futoma	JFutoma
11	1230295296309002240	828297052740268037	Thu Feb 20 00:57:11 +0000 2020	Important changes to the <a href='#'>#NeurIPS2020</a> submission and review process authors should keep in mind  <a href='#'>https://t.co/hduoYnU8Dt</a>	True	False		0	0	0	0	0.9725820000000001	Mariya I. Vasileva	mariyaivasileva
12	1230308617967923200	97707247	Thu Feb 20 01:50:07 +0000 2020	"Just pointed out to me:
<a href='#'><a href='#'>#NeurIPS2020</a></a> Abstract Deadline: Tue May 5
<a href='#'>#ICML2020</a> Notifications: Sat May 9
<a href='#'><a href='#'>#NeurIPS2020</a></a> Paper Submission: Tue May 12

1. Is it intentional that the abstract deadline is before ICML notifications?
2. Any resubmits must be revised *over the weekend*???"	True	True	1.2302397877699707e+18	7	45	1	2	-0.4946219999999999	Gautam Kamath	thegautamkamath
